DATE,gas_net_imports,,million barrerls per day
1Q-2000,0.52,,
2Q-2000,0.56,,
3Q-2000,0.45,,
4Q-2000,0.42,,
1Q-2001,0.56,,
2Q-2001,0.68,,
3Q-2001,0.64,,
4Q-2001,0.56,,
1Q-2002,0.62,,
2Q-2002,0.74,,
3Q-2002,0.72,,
4Q-2002,0.54,,
1Q-2003,0.64,,
2Q-2003,0.91,,
3Q-2003,0.78,,
4Q-2003,0.59,,
1Q-2004,0.7,,
2Q-2004,0.9,,
3Q-2004,0.85,,
4Q-2004,0.71,,
1Q-2005,0.83,,
2Q-2005,0.98,,
3Q-2005,0.96,,
4Q-2005,1.04,,
1Q-2006,1,,
2Q-2006,1.16,,
3Q-2006,1.03,,
4Q-2006,0.79,,
1Q-2007,0.88,,
2Q-2007,1.24,,
3Q-2007,1.1,,
4Q-2007,0.86,,
1Q-2008,0.78,,
2Q-2008,1.06,,
3Q-2008,0.91,,
4Q-2008,0.86,,
1Q-2009,0.94,,
2Q-2009,0.76,,
3Q-2009,0.68,,
4Q-2009,0.55,,
1Q-2010,0.49,,
2Q-2010,0.63,,
3Q-2010,0.72,,
4Q-2010,0.32,,
1Q-2011,0.34,,
2Q-2011,0.55,,
3Q-2011,0.24,,
4Q-2011,0.06,,
1Q-2012,0.24,,
2Q-2012,0.29,,
3Q-2012,0.2,,
4Q-2012,-0.1,,
1Q-2013,0.04,,
2Q-2013,0.41,,
3Q-2013,0.17,,
4Q-2013,-0.08,,
1Q-2014,-0.1,,
2Q-2014,0.21,,
3Q-2014,0.13,,
4Q-2014,-0.08,,
1Q-2015,-0.03,,
2Q-2015,0.21,,
3Q-2015,0.2,,
4Q-2015,-0.18,,
1Q-2016,-0.23,,
2Q-2016,0.14,,
3Q-2016,0.12,,
4Q-2016,-0.26,,
1Q-2017,-0.25,,
2Q-2017,0.05,,
3Q-2017,0.01,,
4Q-2017,-0.56,,
1Q-2018,-0.42,,
2Q-2018,0.06,,
3Q-2018,-0.03,,
4Q-2018,-0.63,,
1Q-2019,-0.34,,
2Q-2019,0.21,,
3Q-2019,0.11,,
4Q-2019,-0.41,,
1Q-2020,-0.32,,
2Q-2020,-0.04,,
3Q-2020,-0.1,,
4Q-2020,-0.33,,
1Q-2021,-0.11,,
2Q-2021,0.14,,
3Q-2021,-0.02,,
4Q-2021,-0.45,,
1Q-2022,-0.37,,
2Q-2022,-0.19,,
3Q-2022,-0.31,,
4Q-2022,-0.45,,
1Q-2023,-0.36,,
2Q-2023,-0.05,,
3Q-2023,-0.31,,
4Q-2023,-0.25,,
