DATE,gasoline
1Q-2001,7.61
2Q-2001,8.29
3Q-2001,8.09
4Q-2001,8.09
1Q-2002,7.87
2Q-2002,8.31
3Q-2002,8.26
4Q-2002,8.28
1Q-2003,7.8
2Q-2003,8.26
3Q-2003,8.3
4Q-2003,8.41
1Q-2004,8.01
2Q-2004,8.34
3Q-2004,8.24
4Q-2004,8.46
1Q-2005,8.16
2Q-2005,8.54
3Q-2005,8.27
4Q-2005,8.31
1Q-2006,7.97
2Q-2006,8.53
3Q-2006,8.57
4Q-2006,8.37
1Q-2007,8.16
2Q-2007,8.43
3Q-2007,8.46
4Q-2007,8.38
1Q-2008,8.46
2Q-2008,8.61
3Q-2008,8.3
4Q-2008,8.82
1Q-2009,8.5
2Q-2009,8.86
3Q-2009,8.88
4Q-2009,8.89
1Q-2010,8.59
2Q-2010,9.13
3Q-2010,9.36
4Q-2010,9.14
1Q-2011,8.83
2Q-2011,9.14
3Q-2011,9.19
4Q-2011,9.07
1Q-2012,8.56
2Q-2012,8.94
3Q-2012,9.07
4Q-2012,9.13
1Q-2013,8.87
2Q-2013,9.27
3Q-2013,9.3
4Q-2013,9.49
1Q-2014,9.11
2Q-2014,9.77
3Q-2014,9.71
4Q-2014,9.69
1Q-2015,9.43
2Q-2015,9.78
3Q-2015,9.96
4Q-2015,9.85
1Q-2016,9.71
2Q-2016,10.07
3Q-2016,10.18
4Q-2016,10.01
1Q-2017,9.53
2Q-2017,10.08
3Q-2017,10.04
4Q-2017,10.15
1Q-2018,9.79
2Q-2018,10.14
3Q-2018,10.12
4Q-2018,10.19
1Q-2019,9.85
2Q-2019,10.16
3Q-2019,10.2
4Q-2019,10.16
1Q-2020,9.31
2Q-2020,7.53
3Q-2020,9.14
4Q-2020,8.98
1Q-2021,8.74
2Q-2021,9.82
3Q-2021,9.83
4Q-2021,9.69
1Q-2022,9.22
2Q-2022,9.74
3Q-2022,9.87
4Q-2022,9.84
1Q-2023,9.35
2Q-2023,9.84
3Q-2023,9.89
4Q-2023,9.82
