Date,All Grades Conventional Retail Gasoline Prices,Regular Conventional Retail Gasoline Prices,Midgrade Conventional Retail Gasoline Prices,Premium Conventional Retail Gasoline Prices,No 2 Diesel Retail Prices
1/7/2019,2.199,2.128,2.496,2.764,3.013
1/14/2019,2.212,2.143,2.496,2.764,2.976
1/21/2019,2.216,2.147,2.5,2.769,2.965
1/28/2019,2.229,2.162,2.5,2.773,2.965
2/4/2019,2.228,2.162,2.488,2.77,2.966
2/11/2019,2.251,2.187,2.5,2.783,2.966
2/18/2019,2.293,2.23,2.535,2.817,3.006
2/25/2019,2.372,2.311,2.601,2.887,3.048
3/4/2019,2.412,2.352,2.638,2.919,3.076
3/11/2019,2.458,2.399,2.674,2.959,3.079
3/18/2019,2.537,2.477,2.75,3.041,3.07
3/25/2019,2.604,2.544,2.819,3.105,3.08
4/1/2019,2.67,2.611,2.885,3.172,3.078
4/8/2019,2.71,2.65,2.93,3.214,3.093
4/15/2019,2.785,2.725,3.006,3.29,3.118
4/22/2019,2.785,2.723,3.019,3.301,3.147
4/29/2019,2.824,2.761,3.062,3.343,3.169
5/6/2019,2.834,2.771,3.083,3.357,3.171
5/13/2019,2.8,2.735,3.054,3.331,3.16
5/20/2019,2.789,2.723,3.045,3.323,3.163
5/27/2019,2.762,2.696,3.022,3.3,3.151
6/3/2019,2.757,2.691,3.015,3.295,3.136
6/10/2019,2.687,2.62,2.955,3.231,3.105
6/17/2019,2.621,2.553,2.897,3.174,3.07
6/24/2019,2.608,2.541,2.881,3.154,3.043
7/1/2019,2.674,2.608,2.931,3.205,3.042
7/8/2019,2.708,2.644,2.959,3.237,3.055
7/15/2019,2.745,2.682,2.982,3.266,3.051
7/22/2019,2.716,2.653,2.958,3.244,3.044
7/29/2019,2.68,2.615,2.924,3.21,3.034
8/5/2019,2.653,2.588,2.899,3.187,3.032
8/12/2019,2.59,2.524,2.851,3.137,3.011
8/19/2019,2.567,2.501,2.826,3.115,2.994
8/26/2019,2.538,2.471,2.799,3.087,2.983
9/2/2019,2.527,2.461,2.789,3.076,2.976
9/9/2019,2.517,2.45,2.783,3.069,2.971
9/16/2019,2.521,2.454,2.787,3.07,2.987
9/23/2019,2.627,2.561,2.883,3.164,3.081
9/30/2019,2.586,2.518,2.855,3.142,3.066
10/7/2019,2.581,2.513,2.855,3.14,3.047
10/14/2019,2.565,2.495,2.843,3.129,3.051
10/21/2019,2.581,2.512,2.861,3.144,3.05
10/28/2019,2.539,2.469,2.825,3.106,3.064
11/4/2019,2.555,2.485,2.847,3.123,3.062
11/11/2019,2.563,2.493,2.855,3.136,3.073
11/18/2019,2.544,2.473,2.84,3.12,3.074
11/25/2019,2.539,2.469,2.83,3.106,3.066
12/2/2019,2.554,2.485,2.84,3.116,3.07
12/9/2019,2.548,2.478,2.837,3.111,3.049
12/16/2019,2.518,2.448,2.811,3.081,3.046
12/23/2019,2.516,2.447,2.802,3.074,3.041
12/30/2019,2.555,2.488,2.827,3.099,3.069
1/6/2020,2.561,2.494,2.833,3.103,3.079
1/13/2020,2.549,2.482,2.817,3.093,3.064
1/20/2020,2.516,2.448,2.792,3.068,3.037
1/27/2020,2.482,2.412,2.761,3.042,3.01
2/3/2020,2.428,2.358,2.709,2.998,2.956
2/10/2020,2.396,2.324,2.684,2.972,2.91
2/17/2020,2.405,2.337,2.68,2.963,2.89
2/24/2020,2.441,2.373,2.709,2.996,2.882
3/2/2020,2.394,2.324,2.671,2.961,2.851
3/9/2020,2.344,2.272,2.626,2.921,2.814
3/16/2020,2.213,2.139,2.516,2.805,2.733
3/23/2020,2.083,2.007,2.409,2.684,2.659
3/30/2020,1.962,1.886,2.295,2.576,2.586
4/6/2020,1.877,1.8,2.207,2.485,2.548
4/13/2020,1.811,1.735,2.142,2.418,2.507
4/20/2020,1.77,1.694,2.1,2.375,2.48
4/27/2020,1.731,1.655,2.053,2.334,2.437
5/4/2020,1.753,1.68,2.052,2.339,2.399
5/11/2020,1.818,1.75,2.089,2.383,2.394
5/18/2020,1.845,1.776,2.113,2.415,2.386
5/25/2020,1.938,1.87,2.205,2.493,2.39
6/1/2020,1.952,1.883,2.227,2.512,2.386
6/8/2020,2.014,1.947,2.283,2.565,2.396
6/15/2020,2.084,2.017,2.357,2.636,2.403
6/22/2020,2.115,2.048,2.383,2.663,2.425
6/29/2020,2.162,2.094,2.428,2.707,2.43
7/6/2020,2.168,2.1,2.438,2.719,2.437
7/13/2020,2.181,2.113,2.454,2.737,2.438
7/20/2020,2.168,2.099,2.443,2.726,2.433
7/27/2020,2.155,2.085,2.436,2.724,2.427
8/3/2020,2.156,2.085,2.445,2.723,2.424
8/10/2020,2.149,2.078,2.437,2.716,2.428
8/17/2020,2.147,2.077,2.433,2.714,2.427
8/24/2020,2.161,2.09,2.442,2.725,2.426
8/31/2020,2.204,2.135,2.484,2.763,2.441
9/7/2020,2.193,2.122,2.481,2.758,2.435
9/14/2020,2.162,2.091,2.451,2.733,2.422
9/21/2020,2.149,2.078,2.432,2.721,2.404
9/28/2020,2.157,2.088,2.438,2.719,2.394
10/5/2020,2.161,2.091,2.442,2.723,2.387
10/12/2020,2.154,2.084,2.434,2.716,2.395
10/19/2020,2.134,2.064,2.416,2.698,2.388
10/26/2020,2.124,2.053,2.407,2.69,2.385
11/2/2020,2.092,2.021,2.378,2.661,2.372
11/9/2020,2.074,2.004,2.358,2.643,2.383
11/16/2020,2.089,2.018,2.377,2.656,2.441
11/23/2020,2.08,2.009,2.369,2.652,2.462
11/30/2020,2.093,2.022,2.379,2.661,2.502
12/7/2020,2.133,2.063,2.412,2.694,2.526
12/14/2020,2.132,2.063,2.407,2.693,2.559
12/21/2020,2.204,2.137,2.466,2.749,2.619
12/28/2020,2.225,2.158,2.482,2.77,2.635
1/4/2021,2.227,2.16,2.484,2.771,2.64
1/11/2021,2.298,2.232,2.55,2.839,2.67
1/18/2021,2.351,2.285,2.601,2.885,2.696
1/25/2021,2.363,2.298,2.615,2.9,2.716
