Weekly_Date,XOM,CVX
6/6/2022,99.18,177.9
5/23/2022,92.66,169.43
5/16/2022,88.98,169
5/9/2022,89.44,167.75
5/2/2022,85.01,156.31
4/25/2022,82.23,155.73
4/18/2022,88.5,173
4/11/2022,85.78,168.57
4/4/2022,83.56,165
3/28/2022,83.17,165.9
3/21/2022,80.12,163.02
3/14/2022,83.06,166.21
3/7/2022,84.92,159.9
2/28/2022,76.51,139.27
2/14/2022,79.58,137.94
2/7/2022,81.14,135.34
1/31/2022,74.97,130.19
1/24/2022,70.88,124.45
1/10/2022,68.97,125.15
1/3/2022,61.24,117.42
12/27/2021,60.93,116.07
12/20/2021,58.79,111.86
12/13/2021,62.47,117.46
12/6/2021,61.72,115.96
11/29/2021,62.57,116.34
11/22/2021,60.32,112.02
11/15/2021,63.76,114.95
11/8/2021,65.55,115.09
11/1/2021,65.07,115.03
10/25/2021,63.72,113.53
10/18/2021,63.09,110.22
10/11/2021,63.03,109.56
10/4/2021,61.32,105
9/27/2021,58.85,102.59
9/20/2021,53.78,94.64
9/13/2021,54.65,97.21
8/30/2021,56.24,99.09
8/23/2021,53.95,96.09
8/16/2021,56.02,100.83
8/9/2021,57.07,101.24
8/2/2021,57.52,102.08
7/26/2021,57,99.58
7/19/2021,55.64,95.82
7/12/2021,60.49,103.56
6/28/2021,64.52,106.75
6/21/2021,60.93,104.1
6/14/2021,62.3,108.18
6/7/2021,61.33,108.37
5/24/2021,59.08,104.95
5/17/2021,60.54,109.09
5/10/2021,63.24,111.44
5/3/2021,57.98,103.98
4/26/2021,55.47,101.27
4/19/2021,56.75,103.27
4/12/2021,56.76,103.67
4/5/2021,57.3,105.73
3/29/2021,57.34,106.4
3/22/2021,56.5,103.06
3/15/2021,61.49,111.53
3/8/2021,61.58,109.86
3/1/2021,56.47,102.46
2/22/2021,52.59,96.99
2/8/2021,50.92,90.29
2/1/2021,45.58,85.99
1/25/2021,46.9,90.62
1/11/2021,45.04,89.12
1/4/2021,41.45,85.15
12/28/2020,41.69,85.61
12/21/2020,41.11,84.35
12/14/2020,44.34,93.4
12/7/2020,41.42,91.82
11/30/2020,39.8,90.01
11/23/2020,37.5,87.45
11/16/2020,37.59,86.24
11/9/2020,36.42,80
11/2/2020,33.14,70.7
10/26/2020,33.61,71.73
10/19/2020,34.1,73.11
10/12/2020,34.54,73.63
10/5/2020,33.32,71.52
9/28/2020,35.14,73.64
9/21/2020,36.43,76.24
9/14/2020,36.91,77.48
8/31/2020,40.64,85.83
8/24/2020,41.28,85.6
8/17/2020,43.17,90.35
8/10/2020,43.99,87.94
8/3/2020,42.05,83.98
7/27/2020,43.23,89.76
7/20/2020,43.21,86.83
7/13/2020,42.98,86.04
7/6/2020,44.67,89.5
6/29/2020,43.81,86.91
6/22/2020,45.69,90.32
6/15/2020,45.35,89.09
6/8/2020,54.72,102.63
6/1/2020,45.32,90.94
5/18/2020,44.4,92.4
5/11/2020,46.11,94.21
5/4/2020,42.51,88.76
4/27/2020,43.59,86.75
4/20/2020,40.75,82.66
4/13/2020,44.45,87.18
4/6/2020,39.88,77
3/30/2020,36.23,68.01
3/23/2020,32.53,58.26
3/16/2020,34.4,72.57
3/9/2020,41.71,82.23
3/2/2020,52.59,94.02
2/24/2020,57.62,105.71
2/10/2020,60.48,108.54
2/3/2020,61.38,106.95
1/27/2020,65.42,110.25
1/13/2020,69.2,116.47
1/6/2020,70.32,121.24
12/30/2019,70.09,120.44
12/23/2019,69.86,119.31
12/16/2019,69.7,118.86
12/9/2019,69.08,116.52
12/2/2019,68.5,117.98
11/25/2019,69.37,118.43
11/18/2019,68.7,119.82
11/11/2019,70.21,120.2
11/4/2019,70.07,117.23
10/28/2019,69.46,119.08
10/21/2019,67.82,115.55
10/14/2019,68.6,115.58
10/7/2019,68.7,113.96
9/30/2019,71.24,118.54
9/23/2019,71.52,123.55
9/16/2019,75.04,124.86
9/9/2019,71.16,118.74
8/26/2019,68.12,115.92
8/19/2019,68.97,117.13
8/12/2019,70.06,123.01
8/5/2019,70.78,119.19
