Colorado All Grades All Formulations Retail Gasoline Prices Weekly
https://www.eia.gov/opendata/v1/qb.php?category=240850&sdid=PET.EMM_EPM0_PTE_SCO_DPG.W
21:27:09 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.EMM_EPM0_PTE_SCO_DPG.W Dollars per Gallon
08/15/2022,4.031
08/8/2022,4.219
08/1/2022,4.454
07/25/2022,4.677
07/18/2022,4.874
07/11/2022,4.959
07/4/2022,4.995
06/27/2022,5
06/20/2022,5.003
06/13/2022,4.979
06/6/2022,4.723
05/30/2022,4.331
05/23/2022,4.218
05/16/2022,4.204
05/9/2022,4.111
05/2/2022,4.1
04/25/2022,4.082
04/18/2022,4.025
04/11/2022,4.014
04/4/2022,4.035
03/28/2022,4.058
03/21/2022,4.049
03/14/2022,4.069
03/7/2022,3.878
02/28/2022,3.437
02/21/2022,3.421
02/14/2022,3.416
02/7/2022,3.408
01/31/2022,3.381
01/24/2022,3.368
01/17/2022,3.367
01/10/2022,3.384
01/3/2022,3.388
12/27/2021,3.4
12/20/2021,3.423
12/13/2021,3.449
12/6/2021,3.506
11/29/2021,3.547
11/22/2021,3.589
11/15/2021,3.615
11/8/2021,3.625
11/1/2021,3.633
10/25/2021,3.64
10/18/2021,3.641
10/11/2021,3.645
10/4/2021,3.653
09/27/2021,3.657
09/20/2021,3.67
09/13/2021,3.708
09/6/2021,3.719
08/30/2021,3.729
08/23/2021,3.742
08/16/2021,3.759
08/9/2021,3.758
08/2/2021,3.648
07/26/2021,3.626
07/19/2021,3.611
07/12/2021,3.578
07/5/2021,3.567
06/28/2021,3.466
06/21/2021,3.413
06/14/2021,3.312
06/7/2021,3.269
05/31/2021,3.217
05/24/2021,3.208
05/17/2021,3.18
05/10/2021,3.119
05/3/2021,3.062
04/26/2021,3.059
04/19/2021,3.052
04/12/2021,3.018
04/5/2021,3.016
03/29/2021,3.014
03/22/2021,3.03
03/15/2021,2.932
03/8/2021,2.853
03/1/2021,2.759
02/22/2021,2.611
02/15/2021,2.574
02/8/2021,2.493
02/1/2021,2.434
01/25/2021,2.431
01/18/2021,2.421
01/11/2021,2.377
01/4/2021,2.333
12/28/2020,2.334
12/21/2020,2.317
12/14/2020,2.252
12/7/2020,2.247
11/30/2020,2.23
11/23/2020,2.211
11/16/2020,2.242
11/9/2020,2.253
11/2/2020,2.268
10/26/2020,2.3
10/19/2020,2.323
10/12/2020,2.332
10/5/2020,2.343
09/28/2020,2.378
09/21/2020,2.397
09/14/2020,2.413
09/7/2020,2.437
08/31/2020,2.471
08/24/2020,2.482
08/17/2020,2.491
08/10/2020,2.502
08/3/2020,2.524
07/27/2020,2.537
07/20/2020,2.558
07/13/2020,2.579
07/6/2020,2.574
06/29/2020,2.565
06/22/2020,2.485
06/15/2020,2.414
06/8/2020,2.325
06/1/2020,2.197
05/25/2020,2.052
05/18/2020,1.828
05/11/2020,1.772
05/4/2020,1.781
04/27/2020,1.81
04/20/2020,1.853
04/13/2020,1.916
04/6/2020,1.981
03/30/2020,2.071
03/23/2020,2.157
03/16/2020,2.267
03/9/2020,2.376
03/2/2020,2.455
02/24/2020,2.519
02/17/2020,2.555
02/10/2020,2.602
02/3/2020,2.619
01/27/2020,2.646
01/20/2020,2.692
01/13/2020,2.727
01/6/2020,2.766
12/30/2019,2.778
12/23/2019,2.808
12/16/2019,2.851
12/9/2019,2.892
12/2/2019,2.886
11/25/2019,2.879
11/18/2019,2.903
11/11/2019,2.882
11/4/2019,2.895
10/28/2019,2.847
10/21/2019,2.831
10/14/2019,2.807
10/7/2019,2.802
09/30/2019,2.802
09/23/2019,2.784
09/16/2019,2.674
09/9/2019,2.615
09/2/2019,2.586
08/26/2019,2.582
08/19/2019,2.596
08/12/2019,2.618
08/5/2019,2.634
07/29/2019,2.668
07/22/2019,2.707
07/15/2019,2.753
07/8/2019,2.758
07/1/2019,2.779
06/24/2019,2.806
06/17/2019,2.858
06/10/2019,2.899
06/3/2019,2.942
05/27/2019,2.937
05/20/2019,2.927
05/13/2019,2.924
05/6/2019,2.891
04/29/2019,2.863
04/22/2019,2.806
04/15/2019,2.74
04/8/2019,2.647
04/1/2019,2.59
03/25/2019,2.532
03/18/2019,2.436
03/11/2019,2.338
03/4/2019,2.287
02/25/2019,2.234
02/18/2019,2.143
02/11/2019,2.069
02/4/2019,2.077
01/28/2019,2.132
01/21/2019,2.157
01/14/2019,2.183
01/7/2019,2.286
12/31/2018,2.349
12/24/2018,2.393
12/17/2018,2.473
12/10/2018,2.553
12/3/2018,2.618
11/26/2018,2.725
11/19/2018,2.762
11/12/2018,2.849
11/5/2018,2.928
10/29/2018,2.964
10/22/2018,2.991
10/15/2018,3.024
10/8/2018,3.042
10/1/2018,3.012
09/24/2018,2.983
09/17/2018,2.978
09/10/2018,2.936
09/3/2018,2.929
08/27/2018,2.884
08/20/2018,2.853
08/13/2018,2.843
08/6/2018,2.843
07/30/2018,2.836
07/23/2018,2.853
07/16/2018,2.883
07/9/2018,2.895
07/2/2018,2.892
06/25/2018,2.885
06/18/2018,2.918
06/11/2018,2.949
06/4/2018,2.972
05/28/2018,2.979
05/21/2018,2.902
05/14/2018,2.827
05/7/2018,2.755
04/30/2018,2.734
04/23/2018,2.724
04/16/2018,2.717
