New York All Grades All Formulations Retail Gasoline Prices Weekly
https://www.eia.gov/opendata/v1/qb.php?category=240886&sdid=PET.EMM_EPM0_PTE_SNY_DPG.W
21:26:00 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.EMM_EPM0_PTE_SNY_DPG.W Dollars per Gallon
08/15/2022,4.273
08/8/2022,4.36
08/1/2022,4.46
07/25/2022,4.543
07/18/2022,4.639
07/11/2022,4.743
07/4/2022,4.86
06/27/2022,4.932
06/20/2022,4.985
06/13/2022,5.032
06/6/2022,4.865
05/30/2022,4.943
05/23/2022,4.935
05/16/2022,4.821
05/9/2022,4.548
05/2/2022,4.343
04/25/2022,4.201
04/18/2022,4.136
04/11/2022,4.179
04/4/2022,4.235
03/28/2022,4.311
03/21/2022,4.351
03/14/2022,4.437
03/7/2022,4.376
02/28/2022,3.825
02/21/2022,3.766
02/14/2022,3.712
02/7/2022,3.599
01/31/2022,3.546
01/24/2022,3.491
01/17/2022,3.469
01/10/2022,3.472
01/3/2022,3.494
12/27/2021,3.504
12/20/2021,3.513
12/13/2021,3.521
12/6/2021,3.522
11/29/2021,3.572
11/22/2021,3.571
11/15/2021,3.573
11/8/2021,3.565
11/1/2021,3.562
10/25/2021,3.552
10/18/2021,3.474
10/11/2021,3.383
10/4/2021,3.286
09/27/2021,3.293
09/20/2021,3.302
09/13/2021,3.3
09/6/2021,3.304
08/30/2021,3.249
08/23/2021,3.219
08/16/2021,3.226
08/9/2021,3.211
08/2/2021,3.229
07/26/2021,3.194
07/19/2021,3.202
07/12/2021,3.201
07/5/2021,3.186
06/28/2021,3.156
06/21/2021,3.146
06/14/2021,3.135
06/7/2021,3.088
05/31/2021,3.062
05/24/2021,3.068
05/17/2021,3.061
05/10/2021,3.017
05/3/2021,2.943
04/26/2021,2.909
04/19/2021,2.875
04/12/2021,2.87
04/5/2021,2.899
03/29/2021,2.899
03/22/2021,2.907
03/15/2021,2.902
03/8/2021,2.845
03/1/2021,2.809
02/22/2021,2.721
02/15/2021,2.611
02/8/2021,2.573
02/1/2021,2.529
01/25/2021,2.52
01/18/2021,2.48
01/11/2021,2.391
01/4/2021,2.332
12/28/2020,2.32
12/21/2020,2.319
12/14/2020,2.254
12/7/2020,2.244
11/30/2020,2.226
11/23/2020,2.225
11/16/2020,2.226
11/9/2020,2.217
11/2/2020,2.223
10/26/2020,2.234
10/19/2020,2.243
10/12/2020,2.241
10/5/2020,2.241
09/28/2020,2.247
09/21/2020,2.256
09/14/2020,2.275
09/7/2020,2.307
08/31/2020,2.315
08/24/2020,2.242
08/17/2020,2.251
08/10/2020,2.255
08/3/2020,2.267
07/27/2020,2.273
07/20/2020,2.283
07/13/2020,2.279
07/6/2020,2.272
06/29/2020,2.271
06/22/2020,2.25
06/15/2020,2.224
06/8/2020,2.21
06/1/2020,2.189
05/25/2020,2.189
05/18/2020,2.17
05/11/2020,2.16
05/4/2020,2.124
04/27/2020,2.136
04/20/2020,2.189
04/13/2020,2.229
04/6/2020,2.267
03/30/2020,2.31
03/23/2020,2.376
03/16/2020,2.455
03/9/2020,2.547
03/2/2020,2.57
02/24/2020,2.584
02/17/2020,2.587
02/10/2020,2.609
02/3/2020,2.635
01/27/2020,2.673
01/20/2020,2.705
01/13/2020,2.725
01/6/2020,2.722
12/30/2019,2.688
12/23/2019,2.683
12/16/2019,2.656
12/9/2019,2.661
12/2/2019,2.664
11/25/2019,2.67
11/18/2019,2.674
11/11/2019,2.684
11/4/2019,2.671
10/28/2019,2.67
10/21/2019,2.662
10/14/2019,2.673
10/7/2019,2.699
09/30/2019,2.72
09/23/2019,2.732
09/16/2019,2.696
09/9/2019,2.735
09/2/2019,2.756
08/26/2019,2.794
08/19/2019,2.807
08/12/2019,2.836
08/5/2019,2.852
07/29/2019,2.861
07/22/2019,2.878
07/15/2019,2.874
07/8/2019,2.86
07/1/2019,2.866
06/24/2019,2.808
06/17/2019,2.838
06/10/2019,2.878
06/3/2019,2.914
05/27/2019,2.934
05/20/2019,2.967
05/13/2019,2.98
05/6/2019,2.985
04/29/2019,2.97
04/22/2019,2.884
04/15/2019,2.844
04/8/2019,2.781
04/1/2019,2.723
03/25/2019,2.704
03/18/2019,2.668
03/11/2019,2.588
03/4/2019,2.529
02/25/2019,2.516
02/18/2019,2.435
02/11/2019,2.457
02/4/2019,2.47
01/28/2019,2.487
01/21/2019,2.504
01/14/2019,2.521
01/7/2019,2.556
12/31/2018,2.583
12/24/2018,2.63
12/17/2018,2.675
12/10/2018,2.721
12/3/2018,2.755
11/26/2018,2.802
11/19/2018,2.836
11/12/2018,2.881
11/5/2018,2.938
10/29/2018,2.955
10/22/2018,2.975
10/15/2018,2.989
10/8/2018,2.998
10/1/2018,2.969
09/24/2018,2.969
09/17/2018,2.988
09/10/2018,2.98
09/3/2018,2.968
08/27/2018,2.972
08/20/2018,2.978
08/13/2018,2.98
08/6/2018,2.983
07/30/2018,2.979
07/23/2018,2.975
07/16/2018,3
07/9/2018,3.004
07/2/2018,3.007
06/25/2018,3.011
06/18/2018,3.044
06/11/2018,3.079
06/4/2018,3.083
05/28/2018,3.089
05/21/2018,3.079
05/14/2018,2.997
05/7/2018,3.036
04/30/2018,3.03
04/23/2018,2.998
04/16/2018,2.903
04/9/2018,2.821
04/2/2018,2.837
03/26/2018,2.799
03/19/2018,2.732
03/12/2018,2.728
03/5/2018,2.751
02/26/2018,2.762
02/19/2018,2.784
02/12/2018,2.814
02/5/2018,2.827
01/29/2018,2.812
01/22/2018,2.76
01/15/2018,2.735
01/8/2018,2.721
01/1/2018,2.697
12/25/2017,2.653
12/18/2017,2.663
12/11/2017,2.687
12/4/2017,2.715
11/27/2017,2.722
11/20/2017,2.735
11/13/2017,2.749
11/6/2017,2.711
10/30/2017,2.673
10/23/2017,2.68
10/16/2017,2.708
10/9/2017,2.736
10/2/2017,2.788
09/25/2017,2.829
09/18/2017,2.871
09/11/2017,2.91
09/4/2017,2.891
08/28/2017,2.56
08/21/2017,2.552
08/14/2017,2.561
08/7/2017,2.571
07/31/2017,2.538
07/24/2017,2.502
07/17/2017,2.485
07/10/2017,2.489
07/3/2017,2.494
06/26/2017,2.516
06/19/2017,2.539
06/12/2017,2.571
06/5/2017,2.588
05/29/2017,2.593
05/22/2017,2.568
05/15/2017,2.58
