"","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted"
"2018-01-01",2683.72998,2743.449951,2682.360107,2743.149902,13837790000,2743.149902
"2018-01-08",2742.669922,2787.850098,2736.060059,2786.23999,17487770000,2786.23999
"2018-01-15",2798.959961,2810.330078,2768.639893,2810.300049,15424920000,2810.300049
"2018-01-22",2809.159912,2872.870117,2808.120117,2872.870117,18283880000,2872.870117
"2018-01-29",2867.22998,2870.620117,2759.969971,2762.129883,20065340000,2762.129883
"2018-02-05",2741.060059,2763.389893,2532.689941,2619.550049,26787200000,2619.550049
"2018-02-12",2636.75,2754.419922,2622.449951,2732.219971,18854770000,2732.219971
"2018-02-19",2722.98999,2747.76001,2697.77002,2747.300049,14297470000,2747.300049
"2018-02-26",2757.370117,2789.149902,2647.320068,2691.25,19786810000,2691.25
"2018-03-05",2681.060059,2786.570068,2675.75,2786.570068,17051190000,2786.570068
"2018-03-12",2790.540039,2801.899902,2741.469971,2752.01001,18750700000,2752.01001
"2018-03-19",2741.379883,2741.379883,2585.889893,2588.26001,17533550000,2588.26001
"2018-03-26",2619.350098,2674.780029,2593.060059,2640.870117,14647940000,2640.870117
"2018-04-02",2633.449951,2672.080078,2553.800049,2604.469971,16820340000,2604.469971
"2018-04-09",2617.179932,2680.26001,2610.790039,2656.300049,15609880000,2656.300049
"2018-04-16",2670.100098,2717.48999,2660.610107,2670.139893,16375430000,2670.139893
"2018-04-23",2675.399902,2683.550049,2612.669922,2669.909912,17108410000,2669.909912
"2018-04-30",2682.51001,2682.870117,2594.620117,2663.419922,18483840000,2663.419922
"2018-05-07",2680.340088,2732.860107,2655.199951,2727.719971,17060780000,2727.719971
"2018-05-14",2738.469971,2742.100098,2701.909912,2712.969971,16310100000,2712.969971
"2018-05-21",2735.389893,2742.23999,2707.379883,2721.330078,15963780000,2721.330078
"2018-05-28",2705.110107,2736.929932,2676.810059,2734.620117,15217440000,2734.620117
"2018-06-04",2741.669922,2779.899902,2739.51001,2779.030029,17380480000,2779.030029
"2018-06-11",2780.179932,2791.469971,2761.72998,2779.659912,19368250000,2779.659912
