<<<<<<< HEAD
,Date,News
0,2018-01-01,"2 american families are mourned after plane crash in costa rica emboldened israeli right presses moves to doom 2-state solution deadly iran protests prompt warning of harsher response korean war, a ‘forgotten’ conflict that shaped the modern world renewal or gentrification? london borough grapples with a revamp kim jong-un’s overture could drive a wedge between south korea and the u.s. china’s ambitious new ‘port’: landlocked kazakhstan kim jong-un offers north korea’s hand to south, while chiding u.s. celulares señuelo y vehículos blindados: cómo los venezolanos lidian con la inseguridad new york family of 5 among 10 americans killed in costa rica plane crash"
1,2018-01-02,"netanyahu allies rethink remapping of jerusalem german lawmaker who called muslims ‘rapist hordes’ faces sanctions fire kills 13 monkeys at u.k. safari park taiwan dentist must pay his mother nearly $1 million for ‘upbringing’ afraid of falling? for older adults, the dutch have a cure pakistan dismisses trump’s tweet on aid as ‘incomprehensible’ hard-liners and reformers tapped iranians’ ire. now, both are protest targets. south korea proposes border talks with north korea after kim’s overture kim jong-un goes dapper, updating his style along with his arsenal"
2,2018-01-03,"iranians, like their leaders, see foreign hand in protests peru bans buses from road where bus plunged, killing 51 thieves steal qatari jewels in brazen theft at ducal palace in venice ethiopia says it will close notorious prison and free some inmates iceland makes companies prove they’re not paying women less what is unrwa and what would it mean if trump cuts its funding? banker from turkey is convicted in u.s. over plot to evade iran sanctions europe resists trump’s call for tougher measures on iran n.h.s. overwhelmed in britain, leaving patients to wait storm eleanor batters europe"
3,2018-01-04,"turkey calls u.s. conviction of banker ‘scandalous’ isis suicide attack kills at least 20 in kabul nigeria rescues another student from 2014 chibok kidnapping israel offers african migrants a choice: ticket out or jail japanese comedian who used blackface comes under fire online iran lashes out at its enemies, at home and abroad, amid protests vienna ‘new year’s baby’ greeted first with hate, then hearts theresa may apologizes for delays in britain’s health system train crash near kroonstad, south africa, kills at least 18 zimbabwe releases american charged with insulting mugabe"
4,2018-01-05,"u.s. sanctions four more venezuela officials as a 2-state solution loses steam, a 1-state plan gains traction macron opens year pulling no punches with journalists, or anyone irn bru, a scottish favorite, loses some sugar georgian court sentences mikheil saakashvili in absentia to 3 years in prison catalonia’s separatists: in exile. in jail. in power? it’s emily brontë’s party. can lily cole host it if she wants to? britain considers a ‘latte levy’ to cut the use of coffee cups cutting off pakistan, u.s. takes gamble in complex afghan war long before video, japanese fought suicide in the ‘sea of trees’"
5,2018-01-06,"india’s economic woes are piercing modi’s aura of invulnerability how u.s. intelligence agencies underestimated north korea in alps, avalanche warnings and stranded skiers after 6 feet of snow call to remove homeless people (all 8) before royal wedding stirs anger stolen vodka bottle, said to be worth $1.3 million, is found drained and dented what’s the cure for ailing nations? more kings and queens, monarchists say tapes reveal egyptian leaders’ tacit acceptance of jerusalem move merkel and other german leaders try, again, to form a government epiphany celebrations around the world newfound pride in guaraní, a language long disdained in paraguay"
6,2018-01-07,"boycott drive put israel on a blacklist. now israel has one of its own. the heroes of winter: frozen pond rescues losing faith in the state, some mexican towns quietly break away tweet on massacre anniversary puts harsh light on sinn fein member outside iran’s most notorious prison, calls for loved ones to be freed the sting of spring mending fences in the war between dingoes and sheep fujimori urges peruvians to set aside ‘grudges’ after his release the befana market, a beloved roman tradition, is imperiled rohingya militants in myanmar claim responsibility for attack"
7,2018-01-08,"nigerian migrants get a welcome home. jobs are another story. iran hints at rift with atomic agency if u.s. quits nuclear deal russia says its syria bases beat back an attack by 13 drones india’s supreme court orders review of gay sex ban corruption arrests in argentina raise hope, and skepticism a look inside a rescuer’s struggle to save migrants from sinking dinghy biodegradable bags cause outrage in italy. (it’s not really about bags.) a visa-free zone welcomes your wallet. but maybe not your beard. iran can’t keep dictating lifestyle, its president warns theresa may reshuffles u.k. cabinet, but little changes"
8,2018-01-09,"el salvador again feels the hand of washington shaping its fate cutting into afghan patronage: a struggle to make government younger ‘you can’t survive anymore’: tunisia protests rising prices and taxes ‘fire and fury’ from canada: it’s not about trump. or michael wolff. in ukraine, a successful fight for justice, then a murder wales prepares to ban physical punishment of children in china, macron offers a horse, and a vision to counter trump iran’s leader calls trump ‘psychotic’ and warns of revenge snow in the sahara creates white-capped dunes of eerie beauty the u.k. has banned microbeads. why?"
9,2018-01-10,"belgium in uproar over torture of sudanese it deported egypt opens criminal inquiry over new york times article german idea to fight anti-semitism: make immigrants tour concentration camps businesswoman’s fate a test of china’s resolve on north korea arrest in chechnya reflects effort to drive out dissidents, activists say pope invites the poor to the circus, and animal activists protest a colombian rebel group resumes attacks after cease-fire ends when corporate elites won partial control of a mexican city — and then lost it 2 die as pakistanis protest over girl’s killing 13,000 tourists stranded in a swiss ski resort for 2 days"
