,Date,News
0,2020-01-01,"the lesson of an albanian earthquake: the balkans aren’t ready for the big one fazle abed, founder of a leading relief agency, dies at 83 flying lanterns probably caused zoo fire in germany, police say pope francis apologizes after slapping away a clinging pilgrim netanyahu seeks immunity from israeli corruption charges mexico prison fight leaves at least 16 inmates dead what kim jong-un’s latest threats say about his trump strategy pika-who? how pokémon go confused the canadian military pro-iranian protesters end siege of u.s. embassy in baghdad why the fires in australia are so bad"
1,2020-01-02,"video showing sexual assault by mob in egypt draws outrage australia fires rage along pacific coast as india violence gets worse, police are accused of abusing muslims after embassy attack, u.s. is prepared to pre-emptively strike militias in iraq a ‘sir’ with blue-collar roots: britain’s labour race has an unlikely leader israeli supreme court removes an obstacle for netanyahu ‘it’s going to be a blast furnace’: australia fires intensify turkey, flexing its muscles, will send troops to libya flash floods in indonesia leave hundreds of thousands homeless taiwan’s top military official and 7 others die in helicopter crash"
2,2020-01-03,"is there a risk of wider war with iran? a hit man, a detective novelist and a woman who fell from the sky airstrike that killed suleimani also killed powerful iraqi militia leader do-gooder or ‘devil’? a friar’s work divides a venezuelan village migrants crossing the english channel to the u.k. increased sixfold in 2019 ‘ethical veganism’ is a philosophical belief, british court rules what to know about the death of iranian general suleimani israel lauds suleimani assassination, though with caution video shows aftermath of u.s. strike that killed top iran commander u.s. and iran exchange more threats as democrats question timing of strike"
3,2020-01-04,"deadly airstrike in libya wreaks havoc at military academy muslims organize huge protests across india, challenging modi conflict with iran threatens fight against isis iranians close ranks behind leaders after u.s. kills popular general tens of thousands mourn suleimani in era of perpetual conflict, a volatile president grabs expanded powers to make war did the killing of qassim suleimani deter iranian attacks, or encourage them? ‘it’s an atomic bomb’: australia deploys military as fires spread china replaces its top representative in hong kong with an enforcer cries of ‘revenge is coming’ at funerals for slain commanders in iraq"
4,2020-01-05,"erdogan announces first turkish troops are heading to libya mourners throng iran’s streets for suleimani funeral marches venezuela’s maduro claims control of national assembly, tightening grip on power guaidó tries to enter venezuela assembly u.s. allies in mideast fear they may pay price for suleimani killing venezuela’s maduro claims control of national assembly, consolidating grip on power pompeo warns iran’s leaders u.s. could attack them if they retaliate outrage in iran after killing of suleimani: here’s what you need to know huge crowds gather to mourn iran’s top commander iran ends nuclear limits as killing of iranian general upends mideast"
5,2020-01-06,the u.s. seemed to be leaving iraq. but it was all an ‘honest mistake.’ how u.s. troops are preparing for the worst in the middle east boris johnson’s balancing act with trump and europe on iran how to help victims of australia’s fires homes damaged after earthquake in puerto rico mogadishu bombing took the lives of the ‘best and the brightest’ britain’s ‘most prolific rapist’ is jailed for life china grapples with mystery pneumonia-like illness a battle to contain australia’s fires crowds gather at suleimani’s funeral
6,2020-01-07,"some nato troops begin leaving iraq a one-word accusation swirls around trump’s deadly strike: assassination libya rebels capture key coastal city in threat to u.n.-backed government pompeo upended middle east by pushing trump to kill iranian general venezuela’s national assembly opens for business: scuffles, tear gas and doused lights puerto rico earthquake knocks out power and collapses homes deadly stampede at suleimani’s funeral procession pedro sánchez will lead modern spain’s first coalition government iran fires on u.s. forces at 2 bases in iraq, calling it ‘fierce revenge’ koala mittens and baby bottles: saving australia’s animals after fires"
7,2020-01-08,"and you thought brexit was tough … prince harry and meghan to ‘step back’ from royal duties in extraordinary retreat thousands sleep outside in puerto rico because of power outage iran’s long night is capped by an earthquake russia and turkey make joint call for cease-fire in libya iran plane crash victims came from at least seven countries the ukraine plane crash in iran: black boxes and other questions at the edge of a war, the u.s. and iran appear to step back trump backs away from further military conflict with iran ‘i was left with no other choice,’ ghosn says of fleeing japan"
8,2020-01-09,"civilian planes shot down: a grim history the u.s., iran and a no-win game going rogue: prince harry and meghan caught the palace off guard trump administration’s actions in middle east complicate its criticisms of china thousands march in paris against pension reforms video shows ukrainian airliner being hit over iran prince harry’s real declaration of independence: from britain’s tabloids brazil’s top court strikes down ban on netflix film portraying jesus as gay at the heart of france’s long strikes, a fight between the haves and the have-nots u.k. lawmakers give brexit bill the green light"
9,2020-01-10,"as u.s.-iran tensions flare, iraq is caught in the middle northern ireland breaks a three-year political stalemate what to know about taiwan’s presidential election black britons wonder what took harry and meghan so long trump says 4 embassies had been targeted by iranians bomb blast claimed by isis kills at least 15 in pakistan mosque used by taliban u.s. unsuccessfully tried killing a second iranian military official in rare mexico school shooting, student kills a teacher and wounds others buckingham palace in emergency session to resolve harry and meghan crisis marian finucane, 69, dies; influential voice in irish radio"
10,2020-01-11,"‘all perpetrators will be punished,’ zelensky says oman’s new sultan vows to continue country’s peacemaking path macron scraps proposal to raise retirement age in france angry protesters take to streets in iran furor in iran and abroad after tehran admits downing ukrainian jetliner two u.s. service members killed in afghanistan iran admits to shooting down ukrainian plane migrant boat sinks near greek island, killing at least 12 harry, meghan and britain: when did the fairy tale go sour? could ‘megxit’ be a royal fairy tale for canada?"
11,2020-01-12,"ukrainian flight 752: how a plane came down in 7 minutes diego, the tortoise whose high sex drive helped save his species, retires a growing u.s. base made this afghan town. now it’s dying. ontario alert warned of a nuclear ‘emergency,’ then backed down france summons african leaders, threatening troop pullout u.s. rejects extradition request for driver in fatal u.k. accident warnings of ‘volcanic tsunami’ after eruption in philippines a new home for french socialists, on paris’s periphery libyan rivals announce a truce in the battle for tripoli australia’s leader calls for inquiry into government response to fires"
12,2020-01-13,"france agrees to small troop increase, but little else, at sahel summit american held in egypt prison dies after a hunger strike ‘it was like a scene from an action movie’ will canadians have to pay the security costs for harry and meghan? british police said watch out for extremists — like climate activists in statement, queen ‘supportive’ of prince harry and meghan’s ‘new life’ death sentence overturned for pervez musharraf, ex-leader of pakistan rural venezuela crumbles as president shores up the capital and his power residents of the philippines return home, despite dangers why dutch officials want you to forget the country of holland"
13,2020-01-14,"chemical plant explosion in spain kills one and prompts order to stay inside u.k. failed to alert e.u. on 75,000 criminal convictions two popes, and one big furor after benedict weighs in on priestly celibacy china uses growing clout to stifle critics abroad, rights group says wildfires force australian open player to abandon match a homecoming at taal volcano: ‘everything’s gone in the blink of an eye.’ new video shows two iranian missiles hit ukrainian plane ukraine flight 752: new video shows first missile hit plane video shows bus falling into sinkhole in china plan to cut u.s. troops in west africa draws criticism from europe"
14,2020-01-15,"putin’s power shake-up: here are six takeaways turkey restores wikipedia after more than 2-year ban u.s. military resumes joint operations with iraq ‘megxit’ is the new brexit in a britain split by age and politics iranian chess official fears going home over hijab photo peru deports 5 tourists accused of damaging machu picchu temple europe’s gamble: can it save iran deal by threatening to kill it? england’s only county without a mcdonald’s is about to get one she was known in china by her weight: 47 pounds. her death set off outrage. will big ben chime for brexit? it’s a $650,000 question"
15,2020-01-16,"7 found dead and 15 in captivity at religious sect in panama germany investigates 3 suspected of spying for china american family stuck in saudi arabia while father stands trial tv cameras coming to english criminal courts the american mustache ruffling feathers in south korea taliban offer to reduce violence in afghanistan ahead of deal with u.s. russian parliament approves putin’s pick for prime minister ukraine investigates trump allies amid reports of surveillance of marie yovanovitch reducing fire, and cutting carbon emissions, the aboriginal way in huawei battle, china threatens germany ‘where it hurts’: automakers"
16,2020-01-17,"how much warmer was your city in 2019? with brexit looming, experts worry women may be hit hardest putin and the art of stepping down gracefully while keeping a grip on power ninez cacho-olivares, journalist and critic of marcos, dies at 78 canada offers compensation to families of victims of plane downed in iran a blow to the head makes an instant hero in india french strikers shut down the louvre, setting a new target in a pension fight welcoming winter’s cold embrace why europe is finally paying attention to libya iran’s supreme leader calls u.s. government ‘disgraceful’"
17,2020-01-18,"battered but resilient after china’s crackdown clashes shake beirut as anti-government protests explode in violence harry and meghan give up royal titles and forgo state funding downed plane’s black boxes will go to ukraine, iranian media says s.u.v. in forbidden city prompts rage at china’s rich as five star party risks implosion, italy fears the fallout as libya descends into chaos, foreign powers look for a way out donations are pouring into australia. now what?"
18,2020-01-19,"juan guaidó, venezuela opposition leader, defies travel ban yellow or blue? in hong kong, businesses choose political sides international powers call for cease-fire in libya’s long civil war ‘chewing gum tycoon’ of lotte group, shin kyuk-ho, dies at 98 toll in attack on yemen military base rises to at least 76 how u.s. firms helped africa’s richest woman exploit her country’s wealth harry and meghan’s hard exit 75 drug cartel members tunnel out of paraguay prison bodies of ukrainians killed in iran plane crash are returned home huawei executive meng wanzhou’s extradition fight: what to know"
19,2020-01-20,"the royals are coming to canada, but where will they live? union leader emerges as public face of french strike serbia-kosovo flights to resume under u.s.-brokered deal pig pushed off a bungee jump tower causes outrage in china china says it will ban plastics that pollute its land and water extradition hearings begin for meng wanzhou, huawei officer held in canada putin outlines political overhaul, including possible post for himself australia’s wild weather: first fires, now baseball-size hail china confirms new coronavirus spreads from humans to humans 1945: court in paris sentences writer to death"
20,2020-01-21,"mining executives face homicide charges in brazil dam disaster ‘i can’t bring back the dead’: sri lanka leader ends search for war missing wuhan coronavirus map: tracking the spread of the outbreak north korea bans foreign tourists over coronavirus, tour operator says big changes? or maybe not. putin’s plans keep russia guessing. u.k. police plan driving classes at air base after fatal crash ‘abandoned and forgotten’: jailed academic writes of despair in iran glenn greenwald charged with cybercrimes in brazil u.k. promises stronger terrorism laws after knife attack by convict ‘nothing has been done,’ thunberg says"
21,2020-01-22,"world leaders, gathering to mark holocaust, are urged to fight ‘deadly cancer’ trump dismisses troops’ possible brain injuries as ‘headaches’ textbook publisher apologizes for printing 9/11 conspiracy theory ivanka trump takes spotlight at davos, ahead of cabinet members di maio quits as five star leader in italy, deepening party’s disarray u.k. takes a major step toward brexit lawyers for harry and meghan warn british media over photos starving lions in sudan spur campaign to save them bezos phone hack tied to saudi crown prince puts new pressure on kingdom northern ireland now has a government, but schools and hospitals are in crisis"
22,2020-01-23,"coronavirus overwhelms hospitals in wuhan, videos show china expands virus lockdown, encircling 35 million holocaust gathering lets some leaders score present-day political points trump invites netanyahu to white house to discuss middle east peace plan afghanistan is ready for major u.s. troop reduction, ghani says guaidó, promising change for venezuela, fails to conquer davos bulgaria charges 3 russian agents in poisoning case e.u. farm chief pledges to tackle corruption in subsidy program africa’s richest woman set to face charges in angola over embezzlement the case of the 5 missing dogs: what happened to the ‘tamworth 5’?"
23,2020-01-24,"mexico breaks up a migrant caravan, pleasing white house pence’s trip lets him change the topic, but impeachment intrudes europe’s migration crisis has ebbed. croatia wants to keep it that way. earthquake strikes eastern turkey, killing 22 fear of virus ruins the ‘happiest day’ for millions of chinese 34 troops have brain injuries from iranian missile strike, pentagon says macron fires ambassador who attacked his pension plan white house criticism has ‘of course no effect,’ greta thunberg says shooting in germany leaves 6 dead u.n. court’s order on rohingya is cheered, but will myanmar comply?"
24,2020-01-25,"effects of coronavirus begin echoing far from wuhan epicenter coronavirus exposes core flaws, and few strengths, in china’s governance gantz to meet trump on peace plan, but alone, not with netanyahu china’s omnivorous markets are in the eye of a lethal outbreak once again iraq police crack down on protests as influential cleric withdraws support girl and her father are killed by afghan forces indonesia releases u.s. journalist detained over visa issue 75 years after auschwitz liberation, worry that ‘never again’ is not assured at border of 2 nuclear-armed nations: machine guns, anxiety and dancing glenn greenwald in bolsonaro’s brazil: ‘i trigger a lot of their primal rage’"
25,2020-01-26,"after losing his legs to a bomb, afghan veteran is on a new journey trump’s mideast plan is seen mainly as an election lift for netanyahu as coronavirus fears intensify, effectiveness of quarantines is questioned brazil under bolsonaro has message for teenagers: save sex for marriage in coronavirus, a ‘battle’ that could humble china’s strongman harry and meghan’s big funding source is private. sort of. 20 questions with 2020 democrats india restores some internet access in kashmir after long shutdown california confirms coronavirus patient, marking third u.s. case anatomy of a lie: how iran covered up the downing of an airliner"
26,2020-01-27,"chinese officials race to contain anger over virus powerful storm kills 47 in brazil at auschwitz, holocaust survivors plead ‘never forget’ trump’s mideast plan could give israel sovereignty over much of jordan valley france to stop using tnt-loaded tear gas grenades seamus mallon, advocate for peace in northern ireland, dies at 83 ‘what if we all get sick?’: coronavirus strains china’s health system cease-fire in libya collapses despite international efforts u.s. military plane crashed in afghanistan, officials confirm u.s. embassy in baghdad is hit by mortars"
27,2020-01-28,"coronavirus world map: tracking the global outbreak containing the coronavirus: countries limit travel to china trump plan’s first result: israel will claim sovereignty over part of west bank johnson risks a rift with trump by granting new access to huawei trump releases mideast peace plan that strongly favors israel kenya’s new digital ids may exclude millions of minorities ex-king of belgium acknowledges a long-dismissed daughter modi prepares to welcome trump to india russia exerts growing influence in africa, worrying many in the west netanyahu withdraws immunity bid, shifting election battleground"
28,2020-01-29,"foreigners airlifted from chinese city at heart of coronavirus outbreak trump’s mideast plan leaves palestinians with few options putin pardons american-israeli swept up in geopolitical game lina ben mhenni, 36, ‘a tunisian girl’ who confronted regime, dies despite calm in afghan cities, war in villages kills dozens daily what to know about trump’s middle east plan a texas-size defeat for the e.u.: brexit is here e.u. recommends limiting, but not banning, huawei in 5g rollout more than 7,700 cases of coronavirus recorded worldwide a muted arab response to trump’s mideast peace plan"
29,2020-01-30,"iranian rapper detained in turkey faces deportation abduction of ethiopian students fuels anger at the government coronavirus anger boils over in china and doctors plead for supplies french cardinal acquitted of abuse cover-up on appeal german nurse accused of poisoning five infants with morphine more violence. fewer prisoners. inside mexico’s criminal justice reform. pompeo calls china’s ruling party ‘central threat of our times’ as coronavirus spreads, so does anti-chinese sentiment cruise passengers are held at italian port in false alarm over coronavirus press send for brexit: e.u. seals u.k. withdrawal by email"
30,2020-01-31,"at the stroke of brexit, britain steps, guardedly, into a new dawn capital in trump mideast plan makes ‘a joke’ of palestinian aspirations from armed struggle to peaceful protest, a road still to travel u.s. strikes at leader of qaeda in yemen kenya’s high court delays national biometric id program sars was deadly in canada. is the country ready for coronavirus? belgium acquits three doctors in landmark euthanasia case portraits of brexit day: u.k. celebrates and mourns leaving e.u. berlin freezes rents for 5 years in a bid to slow gentrification britons on brexit: ‘we’ve made a spectacle of ourselves’"
31,2020-02-01,"china increasingly walled off as countries seek to stem coronavirus iraq names new prime minister who praises ‘bravery’ of protesters trump threw weighty refugee decisions to local government, with painful results as new coronavirus spread, china’s old habits delayed fight modi’s budget offers few solutions to revive india’s weak economy what if brexit works? greece’s answer to migrants, a floating barrier, is called a ‘disgrace’ venezuela’s capital is booming. is this the end of the revolution? indonesia deports u.s. journalist jailed over visa issue with brexit official, britons start a ‘brexodus’ from brussels"
32,2020-02-02,"australia’s volunteer firefighters are heroes. but are they enough? in libya, toothless u.n. embargo lets foreign states meddle with impunity philippines reports first coronavirus death outside china al qaeda claims it directed florida naval base shooting israel puts brakes on west bank annexation plan coronavirus pummels wuhan, a city short of supplies and overwhelmed u.k. police kill man in a ‘terrorist related’ incident how did iran’s qassim suleimani wield power? we tracked the quds force playbook quieter response to coronavirus in countries where china holds sway like its 2 royal guests, canada’s most english city reinvents itself"
33,2020-02-03,"‘i feel abandoned’: how residents in wuhan are coping with coronavirus beijing sees ‘major test’ as doors to china close and coronavirus deaths surpass sars audio captured iran plane downing: ‘that surely is the light from a missile’ brexit done? not so fast. britain and e.u. enter new trade deal battle. beijing in the time of coronavirus: no traffic, empty parks and fear mercy flight leaves yemen capital, cracking a 3-year blockade china pledged to build a new hospital in 10 days. it’s close. hong kong tightens border as medical workers call for shutdown london stabbing prompts questions on policies for terrorism convictions turkey launches deadly airstrikes against syrian forces"
34,2020-02-04,"hong kong reports its first coronavirus death as outbreak widens judge who pushed graft cases against ex-president of argentina dies drone footage shows wuhan under lockdown gandhi’s killer evokes admiration as never before mumbai police play a trick on honking drivers for lebanon’s shiites, a dilemma: stay loyal to hezbollah or keep protesting? there’s no place like kangaroo island. can it survive australia’s fires? deaths in china rise, with no sign of slowdown"
35,2020-02-05,"johnson and bbc trade jabs, as war on the press flares plane skids and breaks apart at istanbul airport plane skids off runway in istanbul, breaking apart and killing 3 nato eyes troop reductions in afghanistan as u.s. draws down u.s. warns of sexual assault risk in spain losing track of time in the epicenter of china’s coronavirus outbreak trapped on a cruise ship by the coronavirus: when is breakfast? avalanche in turkey kills dozens of rescuers responding to earlier slide married women on the island of jersey win control of their taxes afghan votes will be audited, extending monthslong election crisis"
36,2020-02-06,"benetton severs ties with oliviero toscani africa, intertwined with china, fears coronavirus outbreak girl, 5, is raped on grounds of u.s. embassy in india, police say for the irish, varadkar may have won brexit, but he lost the war at home violence surges in wake of trump’s mideast plan chinese doctor, silenced after warning of outbreak, dies from coronavirus china tightens wuhan lockdown in ‘wartime’ battle with coronavirus finland plans to give all new parents the same leave what it’s like to be quarantined on an island over coronavirus fears italy train derailment kills at least 2"
37,2020-02-07,"a new martyr puts a face on china’s deepening coronavirus crisis germans unnerved by political turmoil that echoes nazi era he warned of coronavirus. here’s what he told us before he died. a victory in court for pipelines but the debate continues taliban militant flees prison, claiming deal with pakistani security forces passenger plane drew fire in syria, russia says spanish terrorist is extradited from brazil after decades on the run a onetime ‘refugee child’ takes on austria’s far right jump in coronavirus cases on ship poses a critical test for japan putin rejects oil deal with belarus, increasing pressure for merger"
38,2020-02-08,"sinn fein surges in irish elections, exit polls predict two american soldiers killed in shootout with afghan forces they fight suicide bombers. but can afghan police fight crime? paul farnes, last r.a.f. ace of battle of britain, dies at 101 where’s xi? china’s leader commands coronavirus fight from safe heights french ice sports chief resigns amid sexual abuse scandal to survive, venezuela’s leader gives up decades of control over oil soldier kills 29 in thailand shooting spree and dies in standoff ‘innocent, but implicated’: wuhan native is in limbo during epidemic first american dies of coronavirus, raising questions about u.s. response"
39,2020-02-09,"as deaths mount, china tries to speed up coronavirus testing coronavirus epidemic reaches bleak milestone, exceeding sars toll thailand mourns mass shooting victims in fight to stop human trafficking, nuns take to the streets swiss vote to penalize public homophobia ‘do not make any loud noises’: a thai soldier’s 18-hour shooting rampage her grandmother got the coronavirus. then so did the whole family. as virus cases rise on quarantined cruise ship, passengers are on edge arctic dining: think frozen sashimi, with a side of reindeer blood with cameras monitoring his grave, karl marx still can’t escape surveillance"
40,2020-02-10,"more than 100 troops have brain injuries from iran missile strike, pentagon says russia sentences anti-fascists on bogus terror charges, critics say storm ciara, or sabine, leaves 5 dead in europe thai soldier in mass shooting had business clash with his commander canadian police move against pipeline blockades, arresting dozens coronavirus outbreak risks reviving stigma for china xi jinping visits beijing hospital personal data of all 6.5 million israeli voters is exposed ‘let’s not shake hands’: xi jinping tours beijing amid coronavirus crisis u.k. declares coronavirus ‘imminent threat’ as europe scrambles"
41,2020-02-11,"quarantined cruise passengers have many questions. japan has few answers. her dream of becoming a doctor turned into a nightmare, and a movie trump gives conditional go ahead on peace deal with taliban, officials say a store, a chalet, an unsealed pipe: coronavirus hot spots flare far from wuhan chinese students abroad: how are you affected by the coronavirus outbreak? ukrainian political shake-up involves figures in u.s. impeachment kenya’s longest-serving ruler divides in death, as in life palestinian leader denounces trump’s mideast plan at u.n. sudan’s ex-ruler may face war crimes trial, official says at a temple, thai gunman’s revenge gave way to a random killing rampage"
42,2020-02-12,"arrest of former oil chief is a win for mexico’s anti-corruption drive pipeline protests cause widespread travel delays across canada accused mastermind of mumbai attack convicted of links to terrorism how many coronavirus cases in china? officials tweak the answer syrian attacks draw turkey deeper into syrian war cruise ship passengers describe life at sea amid coronavirus outbreak u.n. publishes list of firms doing business with israeli settlements gabriel matzneff, who wrote for years about pedophilia, is charged mudlarks scour the thames to uncover 2,000 years of secrets dutch police hunt for mail bomber who demanded bitcoin payoff"
43,2020-02-13,"celebrated abroad, juan guaidó faces critical test in venezuela china expands chaotic dragnet in coronavirus crackdown coronavirus ‘hits all the hot buttons’ for how we misjudge risk a timeline of the coronavirus pandemic how the coronavirus numbers changed so sharply how dresden looked after a world war ii firestorm 75 years ago as passenger angst grows, japan to let some off ship, but fewer than hoped u.k. passenger who tried to open plane door midflight is jailed for 2 years china ousts 2 party officials amid outrage about coronavirus response sudan says it agrees to compensate families of u.s.s. cole bombing"
44,2020-02-14,"he observed a protest. now he faces a possible life sentence. beijing tightens quarantine rules in coronavirus battle fire kills 17 at unaccredited orphanage in haiti boris johnson moves boldly to consolidate power digging into oil sands divestment germany says it’s broken up a far-right terrorism network as sea levels rise, scientists offer a bold idea: dam the north sea u.s. and taliban agree to reduce violence, in first step to peace deal china’s doctors, fighting the coronavirus, beg for masks russians pressure u.s. forces in northeast syria"
45,2020-02-15,"china’s leader, under fire, says he led coronavirus fight early on france confirms first death in europe from coronavirus ‘the west is winning,’ pompeo said. the west wasn’t buying it. doping ruling knocks russia off gold medal perch the end of australia as we know it u.s. bars sri lankan army chief accused of war crimes damming the lower mekong, devastating the ways and means of life shifting ground in coronavirus fight: u.s. will evacuate americans from cruise ship u.s. says it will evacuate americans from cruise ship"
46,2020-02-16,israel accuses hamas of ‘catfishing’ soldiers to plant malware young somalis step in where government fails britain battered as storm dennis brings landslides and travel chaos u.s. passengers evacuate quarantined cruise ship in japan coronavirus infection found after cruise ship passengers disperse highly secretive iranian rebels are holed up in albania. they gave us a tour. rate of new fatalities drops in china
47,2020-02-17,"as afghan soldier kills 2 americans, peace talks forge ahead boris johnson aide quits after furor over racial comments americans heading from cruise ship to quarantine with libya still at war, e.u. agrees to try blocking weapons flow johnson faces scrutiny for flooding response after storm dennis battling coronavirus, china signals delay of its top party gathering how china tracked detainees and their families coronavirus empties european cities of chinese tourists they escaped an infected ship, but the flight home was no haven china detains activist who accused xi of coronavirus cover-up"
48,2020-02-18,"coronavirus epidemic keeps growing, but spread in china slows on tour, pompeo courts africa, to counter china ‘it’s like the end of the world’ u.s. designates china’s official media as operatives of the communist state to make a diplomatic point, ukraine rebels open fire u.s. imposes sanctions on russian oil company supporting venezuela’s leader storm dennis blows ghost ship to ireland what if trump wins? europeans fear a more permanent shift against them in europe, fear spreads faster than the coronavirus itself ghani named afghan election winner. his opponent claims victory, too."
49,2020-02-19,"gunman kills at least 9 in german city of hanau coronavirus worsens u.s.-china ties and bolsters hawks in washington west german men fill race to replace chancellor merkel the grisly deaths of a woman and a girl shock mexico and test its president hundreds released from diamond princess cruise ship in japan u.k.’s new immigration rules will restrict low-skilled workers ex-north korean diplomat runs for south korean parliament 14 die and hundreds sickened in pakistan, and the cause is a mystery she left wuhan to become a journalist. she’s back in time to get the story. japan reports 2 deaths among cruise ship passengers"
50,2020-02-20,"lesotho’s leader misses court date to be charged in killing of estranged wife south sudan’s feuding leaders announce unity deal, amid war crimes report video shows aftermath of deadly highway crash in canada shipwreck yields artifacts of missing seafarers in canada’s arctic netanyahu announces new homes in east jerusalem, days before election women will be hit hard by u.k.’s new immigration rules, experts warn enormous pileup near montreal injures dozens and kills two suspect arrested in stabbing at london mosque u.s. and allies blame russia for cyberattack on republic of georgia 2 dead after sydney to melbourne train derails in australia"
51,2020-02-21,"‘why are they hiding us?’ indian city builds wall to shield slum before trump visit coronavirus fears grip village in ukraine who and what’s behind the blockades disrupting canada’s rails for harry and meghan, no more ‘royal’ in their brand with 4 deaths in iran and more cases on 3 continents, fears of coronavirus pandemic rise a kenyan painter casts a critical eye on china’s role in africa india set to stage an epic show, with trump as the star far-right terrorism is no. 1 threat, germany is told after attack iran remains on antiterrorism blacklist, continuing sanctions notre-dame’s crypt and square may reopen in spring"
52,2020-02-22,"a mexican oil chief’s hide-out: sea views and 2 golf courses ‘we’re in a petri dish’: how a coronavirus ravaged a cruise ship adapting to rising seas, schools move to the rafters and cats swim new bid to legalize abortion in argentina, with president’s backing infection numbers spike in south korea, and fear builds josé zalaquett, leader in chile’s search for truth, dies at 77"
53,2020-02-23,"the fires are out, but australia’s climate disasters aren’t over haiti protest by police erupts in gunfire china is censoring coronavirus stories. these citizens are fighting back. europe confronts coronavirus as italy battles an eruption of cases israel strikes militants in syria and gaza after clash over body at border venezuela’s socialists embrace business, making partner of a ‘parasite’ founder of french charity is accused of pattern of abuse as coronavirus cases spiral, south korea raises threat alert level religious groups in china step into the coronavirus crisis 1920: britain, italy and japan recognized soviet russia"
54,2020-02-24,"under pressure from trump, extraditions to u.s. from mexico soar ‘recipe for a massive viral outbreak’: iran emerges as a worldwide threat spreading across continents, a lethal virus tests a fraying global order coronavirus stalls milan, italy’s economic engine thich quang do, defiant rights champion in vietnam, dies at 91 ‘society is worried’: coronavirus deaths rise in iran as fears of a pandemic mount, w.h.o. says world is not ready police move to clear canada rail blockade by indigenous people driver slams car into german carnival crowd hong kong says it will begin evacuating residents from wuhan"
55,2020-02-25,"in mubarak’s legacy, egyptians see the failings of the arab spring spread of virus could hasten the great coming apart of globalization russian court further detains ex-marine on charges his family calls false spanish hotel is locked down after guests test positive for coronavirus coronavirus spreads to soccer’s schedule, closing stadiums and stranding teams hosni mubarak’s legacy of forced stability hosni mubarak, egyptian leader ousted in arab spring, dies at 91 as emmanuel macron’s impact grows, so does french disdain ​in coronavirus crisis, korean city tries openness, a contrast to china new delhi streets turn into battleground, hindus vs. muslims"
56,2020-02-26,"women in mexico are urged to disappear for a day in protest the roots of the delhi riots: a fiery speech and an ultimatum ‘democracy is in play’: what to know about protests in the dominican republic coronavirus nightmare could be the end for europe’s borderless dream violent clashes continue in new delhi as police amplify presence watch live: health secretary alex azar testifies on coronavirus mubarak’s three-decade rule is brushed aside in war-hero burial hundreds confined to tenerife hotel for 14 days over coronavirus fears as new delhi violence rages for 3rd day, modi urges calm brazilian who visited italy is first coronavirus patient in latin america"
57,2020-02-27,"at a locked down spanish resort, many questions, little information airstrike hits turkish forces in syria, raising fears of escalation germany tries to solve a coronavirus puzzle with ‘endless pieces’ it’s not the plague, but milan isn’t itself either britain and the e.u. enter trade talks, acrimoniously iran vice president is one of 7 officials to contract coronavirus u.s. maintains pressure on iran, stalling diplomacy while expecting attacks secret passage dating to 1660 is found inside u.k. parliament scotland set to be first country to provide free pads and tampons italy, mired in politics over virus, asks how much testing is too much"
58,2020-02-28,"italy’s quarantine leaves locked-down towns feeling ‘sacrificed’ confusion and contradiction reign in iran’s coronavirus reporting in china’s war on the coronavirus, a community is besieged an israeli political aide confided to his rabbi. he was being recorded. a canadian multimillionaire, a caribbean feud and an international rape case ukraine is threatening to arrest its former president at a bar ‘made by africans,’ migrants put down roots in mexico nato calls for ‘peaceful solution’ after airstrikes in syria an artist who aspires to be ‘a bone in everyone’s throat’ journalist’s murder puts a tycoon, and a nation, on trial"
59,2020-02-29,"life inside an afghan women’s prison for boris johnson, britain’s baby boom starts at downing street after 18 years, is this afghan peace, or just a way out? in graying japan, many are vulnerable but few are being tested top u.k. civil servant quits and vows to sue, accusing minister of ‘vicious’ behavior photos from america’s longest war 4 takeaways from the u.s. deal with the taliban malaysia’s premier, mahathir mohamad, is ousted in a surprising turn erdogan says, ‘we opened the doors,’ and clashes erupt as migrants head for europe for seoul’s poor, class strife in ‘parasite’ is daily reality"
60,2020-03-01,"as another election looms, israelis ponder politics, and contagion ernesto cardenal, nicaraguan priest, poet and revolutionary, dies at 95 abortion case in colombia could be a landmark in latin america fear of coronavirus leaves the faithful without mass in italy’s north turkey declares major offensive against syrian government after factory disaster, bangladesh made big safety strides. are the bad days coming back? israeli slugfest:the campaign in pictures afghanistan war enters new stage as u.s. military prepares to exit in india, modi’s policies have lit a fuse greece suspends asylum as turkey opens gates for migrants"
