DATE,gasoline U.S. refinery production,Saudi Production Change Crude oil,gasoline_net_imports,US gasoline price
2001-1Q,4,0.58,0.56,1.436307692
2001-2Q,8.29,-0.18,0.68,1.617692308
2001-3Q,8.09,-0.68,0.64,1.451692308
2001-4Q,8.09,-1.19,0.56,1.192071429
2002-1Q,7.87,-1.17,0.62,1.15675
2002-2Q,8.31,-0.53,0.74,1.390846154
2002-3Q,8.26,-0.27,0.72,1.397571429
2002-4Q,8.28,0.37,0.54,1.414307692
2003-1Q,7.8,1.62,0.64,1.595923077
2003-2Q,8.26,1.69,0.91,1.523769231
2003-3Q,8.3,0.75,0.78,1.609615385
2003-4Q,8.41,0.52,0.59,1.515076923
2004-1Q,8.01,-0.3,0.7,1.658230769
2004-2Q,8.34,-0.36,0.9,1.921923077
2004-3Q,8.24,0.98,0.85,1.885692308
2004-4Q,8.46,0.97,0.71,1.943
2005-1Q,8.16,0.9,0.83,1.931615385
2005-2Q,8.54,0.8,0.98,2.184461538
2005-3Q,8.27,0.1,0.96,2.554153846
2005-4Q,8.31,0,1.04,2.411615385
2006-1Q,7.97,-0.09,1,2.338230769
2006-2Q,8.53,-0.38,1.16,2.849230769
2006-3Q,8.57,-0.4,1.03,2.840769231
2006-4Q,8.37,-0.72,0.79,2.260846154
2007-1Q,8.16,-0.76,0.88,2.350846154
2007-2Q,8.43,-0.62,1.24,3.002538462
2007-3Q,8.46,-0.54,1.1,2.859923077
2007-4Q,8.38,0.18,0.86,2.959071429
2008-1Q,8.46,0.55,0.78,3.115461538
2008-2Q,8.61,0.72,1.06,3.782
2008-3Q,8.3,0.9,0.91,3.836384615
2008-4Q,8.82,-0.02,0.86,2.248307692
2009-1Q,8.5,-1.13,0.94,1.895153846
2009-2Q,8.86,-1.19,0.76,2.339307692
2009-3Q,8.88,-1.17,0.68,2.569538462
2009-4Q,8.89,-0.68,0.55,2.607
2010-1Q,8.59,0.07,0.49,2.714923077
2010-2Q,9.13,0.03,0.63,2.807692308
2010-3Q,9.36,-0.22,0.72,2.721846154
2010-4Q,9.14,-0.05,0.32,2.882230769
2011-1Q,8.83,0.75,0.34,3.274076923
2011-2Q,9.14,0.97,0.55,3.803769231
2011-3Q,9.19,1.62,0.24,3.634076923
2011-4Q,9.07,1.48,0.06,3.372153846
2012-1Q,8.56,1.04,0.24,3.586461538
2012-2Q,8.94,0.72,0.29,3.737384615
2012-3Q,9.07,0.1,0.2,3.652
2012-4Q,9.13,-0.21,-0.1,3.506214286
2013-1Q,8.87,-0.83,0.04,3.566583333
2013-2Q,9.27,-0.25,0.41,3.601076923
2013-3Q,9.3,0.2,0.17,3.565142857
2013-4Q,9.49,0.31,-0.08,3.286769231
2014-1Q,9.11,0.7,-0.1,3.410846154
2014-2Q,9.77,0.05,0.21,3.676307692
2014-3Q,9.71,-0.4,0.13,3.494
2014-4Q,9.69,-0.17,-0.08,2.849538462
2015-1Q,9.43,0.01,-0.03,2.280461538
2015-2Q,9.78,0.63,0.21,2.673615385
2015-3Q,9.96,0.59,0.2,2.601230769
2015-4Q,9.85,0.5,-0.18,2.161538462
2016-1Q,9.71,0.4,-0.23,1.883615385
2016-2Q,10.07,0.05,0.14,2.250307692
2016-3Q,10.18,0.31,0.12,2.209076923
2016-4Q,10.01,0.42,-0.26,2.23
2017-1Q,9.53,-0.22,-0.25,2.327769231
2017-2Q,10.08,-0.24,0.05,2.385538462
2017-3Q,10.04,-0.42,0.01,2.430846154
2017-4Q,10.15,-0.44,-0.56,2.514307692
2018-1Q,9.79,0.13,-0.42,2.575923077
2018-2Q,10.14,0.11,0.06,2.842384615
2018-3Q,10.12,0.3,-0.03,2.840615385
2018-4Q,10.19,0.63,-0.63,2.622642857
2019-1Q,9.85,-0.11,-0.34,2.357666667
2019-2Q,10.16,-0.28,0.21,2.791692308
2019-3Q,10.2,-1.1,0.11,2.653214286
2019-4Q,10.16,-0.9,-0.41,2.590307692
2020-1Q,9.31,-0.2,-0.32,2.394615385
2020-2Q,7.53,-0.64,-0.04,1.942384615
2020-3Q,9.14,-0.61,-0.1,2.182769231
2020-4Q,8.98,-0.82,-0.33,2.150307692
2021-1Q,8.74,-1.31,-0.11,2.568692308
2021-2Q,9.82,-0.75,0.14,2.970307692
2021-3Q,9.83,0.78,-0.02,3.156384615
2021-4Q,9.69,0.86,-0.45,3.335538462
2022-1Q,9.22,1.59,-0.37,3.656076923
2022-2Q,9.74,1.77,-0.19,4.489846154
