Date,All Grades All Formulations Retail Gasoline Prices,All Grades Conventional Retail Gasoline Prices,All Grades Reformulated Retail Gasoline Prices,Regular All Formulations Retail Gasoline Price,Regular Conventional Retail Gasoline Prices,Regular Reformulated Retail Gasoline Prices,Midgrade All Formulations Retail Gasoline Prices,Midgrade Conventional Retail Gasoline Prices,Midgrade Reformulated Retail Gasoline Prices,Premium All Formulations Retail Gasoline Prices,Premium Conventional Retail Gasoline Prices,Premium Reformulated Retail Gasoline Prices,No 2 Diesel Retail Prices
1/7/2019,2.329,2.199,2.578,2.237,2.128,2.465,2.662,2.496,2.895,2.906,2.764,3.069,3.013
1/14/2019,2.338,2.212,2.578,2.247,2.143,2.466,2.66,2.496,2.888,2.907,2.764,3.069,2.976
1/21/2019,2.34,2.216,2.577,2.251,2.147,2.468,2.661,2.5,2.885,2.902,2.769,3.055,2.965
1/28/2019,2.343,2.229,2.567,2.256,2.162,2.458,2.65,2.5,2.866,2.899,2.773,3.045,2.965
2/4/2019,2.341,2.228,2.561,2.254,2.162,2.451,2.644,2.488,2.867,2.895,2.77,3.04,2.966
2/11/2019,2.361,2.251,2.577,2.276,2.187,2.466,2.657,2.5,2.883,2.912,2.783,3.062,2.966
2/18/2019,2.4,2.293,2.61,2.317,2.23,2.502,2.688,2.535,2.906,2.94,2.817,3.081,3.006
2/25/2019,2.471,2.372,2.664,2.39,2.311,2.56,2.739,2.601,2.937,2.998,2.887,3.124,3.048
3/4/2019,2.502,2.412,2.678,2.422,2.352,2.574,2.768,2.638,2.956,3.02,2.919,3.137,3.076
3/11/2019,2.549,2.458,2.726,2.471,2.399,2.625,2.807,2.674,2.999,3.059,2.959,3.175,3.079
3/18/2019,2.625,2.537,2.8,2.548,2.477,2.7,2.879,2.75,3.064,3.135,3.041,3.244,3.07
3/25/2019,2.701,2.604,2.893,2.623,2.544,2.793,2.96,2.819,3.162,3.212,3.105,3.337,3.08
4/1/2019,2.77,2.67,2.967,2.691,2.611,2.863,3.034,2.885,3.25,3.286,3.172,3.419,3.078
4/8/2019,2.826,2.71,3.055,2.745,2.65,2.949,3.103,2.93,3.355,3.354,3.214,3.518,3.093
4/15/2019,2.912,2.785,3.162,2.828,2.725,3.052,3.198,3.006,3.478,3.449,3.29,3.635,3.118
4/22/2019,2.926,2.785,3.206,2.841,2.723,3.097,3.221,3.019,3.515,3.474,3.301,3.677,3.147
4/29/2019,2.972,2.824,3.264,2.887,2.761,3.156,3.27,3.062,3.571,3.523,3.343,3.734,3.169
5/6/2019,2.983,2.834,3.279,2.897,2.771,3.171,3.286,3.083,3.583,3.537,3.357,3.748,3.171
5/13/2019,2.954,2.8,3.256,2.866,2.735,3.149,3.258,3.054,3.554,3.514,3.331,3.726,3.16
5/20/2019,2.939,2.789,3.236,2.852,2.723,3.129,3.245,3.045,3.536,3.499,3.323,3.706,3.163
5/27/2019,2.909,2.762,3.2,2.822,2.696,3.094,3.212,3.022,3.493,3.471,3.3,3.67,3.151
6/3/2019,2.893,2.757,3.164,2.807,2.691,3.058,3.194,3.015,3.458,3.447,3.295,3.627,3.136
6/10/2019,2.821,2.687,3.086,2.732,2.62,2.976,3.134,2.955,3.398,3.383,3.231,3.561,3.105
6/17/2019,2.759,2.621,3.032,2.67,2.553,2.923,3.079,2.897,3.344,3.326,3.174,3.505,3.07
6/24/2019,2.741,2.608,3.002,2.654,2.541,2.896,3.051,2.881,3.299,3.3,3.154,3.471,3.043
7/1/2019,2.798,2.674,3.043,2.713,2.608,2.938,3.095,2.931,3.336,3.343,3.205,3.505,3.042
7/8/2019,2.827,2.708,3.06,2.743,2.644,2.956,3.117,2.959,3.348,3.366,3.237,3.517,3.055
7/15/2019,2.86,2.745,3.089,2.779,2.682,2.987,3.137,2.982,3.365,3.392,3.266,3.539,3.051
7/22/2019,2.833,2.716,3.062,2.75,2.653,2.959,3.116,2.958,3.345,3.368,3.244,3.513,3.044
7/29/2019,2.798,2.68,3.032,2.715,2.615,2.928,3.084,2.924,3.318,3.339,3.21,3.491,3.034
8/5/2019,2.772,2.653,3.007,2.688,2.588,2.902,3.062,2.899,3.3,3.317,3.187,3.469,3.032
8/12/2019,2.71,2.59,2.946,2.624,2.524,2.839,3.01,2.851,3.242,3.266,3.137,3.417,3.011
8/19/2019,2.684,2.567,2.914,2.598,2.501,2.807,2.982,2.826,3.21,3.24,3.115,3.387,2.994
8/26/2019,2.661,2.538,2.905,2.574,2.471,2.797,2.965,2.799,3.206,3.219,3.087,3.374,2.983
9/2/2019,2.651,2.527,2.893,2.563,2.461,2.782,2.96,2.789,3.207,3.215,3.076,3.377,2.976
9/9/2019,2.638,2.517,2.876,2.55,2.45,2.765,2.95,2.783,3.194,3.202,3.069,3.357,2.971
9/16/2019,2.64,2.521,2.874,2.552,2.454,2.763,2.95,2.787,3.186,3.203,3.07,3.359,2.987
